Transformazione tra coordinate pixel e coordinate mappa:
Formato: (Pixel X, Pixel Y) -> (Mappa X, Mappa Y)

Pixel (152, 68) -> Mappa (-24.91, 8.38)
Pixel (988, 134) -> Mappa (16.89, 5.08)
Pixel (2166, 184) -> Mappa (75.79, 2.58)
Pixel (1831, 178) -> Mappa (59.04, 2.88)
Pixel (604, 246) -> Mappa (-2.31, -0.52)
Pixel (1262, 242) -> Mappa (30.59, -0.32)
Pixel (1594, 254) -> Mappa (47.19, -0.92)
Pixel (1369, 238) -> Mappa (35.94, -0.12)
Pixel (178, 240) -> Mappa (-23.61, -0.22)
Pixel (996, 258) -> Mappa (17.29, -1.12)
Pixel (1407, 282) -> Mappa (37.84, -2.32)
Pixel (2233, 297) -> Mappa (79.14, -3.07)
Pixel (1816, 291) -> Mappa (58.29, -2.77)
Pixel (175, 374) -> Mappa (-23.76, -6.92)
Pixel (582, 409) -> Mappa (-3.41, -8.67)
Pixel (994, 408) -> Mappa (17.19, -8.62)
Pixel (1404, 423) -> Mappa (37.69, -9.37)
Pixel (159, 427) -> Mappa (-24.56, -9.57)
Pixel (1813, 452) -> Mappa (58.14, -10.82)
Pixel (1456, 462) -> Mappa (40.29, -11.32)
Pixel (1621, 474) -> Mappa (48.54, -11.92)
Pixel (165, 500) -> Mappa (-24.26, -13.22)
Pixel (1815, 539) -> Mappa (58.24, -15.17)
Pixel (1014, 559) -> Mappa (18.19, -16.17)
Pixel (2201, 582) -> Mappa (77.54, -17.32)
Pixel (1829, 606) -> Mappa (58.94, -18.52)
Pixel (2230, 627) -> Mappa (78.99, -19.57)
