Trasformazione tra coordinate pixel e coordinate mappa:
Formato: (Pixel X, Pixel Y) -> (Map X, Map Y)

node_1: Pixel (151, 69) -> Mappa (-24.96, 8.33)
node_2: Pixel (221, 92) -> Mappa (-21.46, 7.18)
node_3: Pixel (953, 102) -> Mappa (15.14, 6.68)
node_4: Pixel (1790, 117) -> Mappa (56.99, 5.93)
node_5: Pixel (178, 139) -> Mappa (-23.61, 4.83)
node_6: Pixel (86, 134) -> Mappa (-28.21, 5.08)
node_7: Pixel (1939, 139) -> Mappa (64.44, 4.83)
node_8: Pixel (2123, 145) -> Mappa (73.64, 4.53)
node_9: Pixel (2044, 205) -> Mappa (69.69, 1.53)
node_10: Pixel (2230, 195) -> Mappa (78.99, 2.03)
node_11: Pixel (1832, 179) -> Mappa (59.09, 2.83)
node_12: Pixel (537, 193) -> Mappa (-5.66, 2.13)
node_13: Pixel (1926, 194) -> Mappa (63.79, 2.08)
node_14: Pixel (604, 242) -> Mappa (-2.31, -0.32)
node_15: Pixel (1117, 236) -> Mappa (23.34, -0.02)
node_16: Pixel (1359, 213) -> Mappa (35.44, 1.13)
node_17: Pixel (1263, 242) -> Mappa (30.64, -0.32)
node_18: Pixel (1462, 215) -> Mappa (40.59, 1.03)
node_19: Pixel (701, 240) -> Mappa (2.54, -0.22)
node_20: Pixel (1592, 255) -> Mappa (47.09, -0.97)
node_21: Pixel (432, 238) -> Mappa (-10.91, -0.12)
node_22: Pixel (180, 238) -> Mappa (-23.51, -0.12)
node_23: Pixel (996, 258) -> Mappa (17.29, -1.12)
node_24: Pixel (1413, 276) -> Mappa (38.14, -2.02)
node_25: Pixel (2233, 297) -> Mappa (79.14, -3.07)
node_26: Pixel (1817, 292) -> Mappa (58.34, -2.82)
node_27: Pixel (163, 417) -> Mappa (-24.36, -9.07)
node_28: Pixel (478, 399) -> Mappa (-8.61, -8.17)
node_29: Pixel (583, 412) -> Mappa (-3.36, -8.82)
node_30: Pixel (993, 407) -> Mappa (17.14, -8.57)
node_31: Pixel (1145, 431) -> Mappa (24.74, -9.77)
node_32: Pixel (1404, 420) -> Mappa (37.69, -9.22)
node_33: Pixel (797, 435) -> Mappa (7.34, -9.97)
node_34: Pixel (1327, 463) -> Mappa (33.84, -11.37)
node_35: Pixel (1810, 456) -> Mappa (57.99, -11.02)
node_36: Pixel (1455, 465) -> Mappa (40.24, -11.47)
node_37: Pixel (1621, 460) -> Mappa (48.54, -11.22)
node_38: Pixel (623, 469) -> Mappa (-1.36, -11.67)
node_39: Pixel (567, 489) -> Mappa (-4.16, -12.67)
node_40: Pixel (2208, 490) -> Mappa (77.89, -12.72)
node_41: Pixel (115, 492) -> Mappa (-26.76, -12.82)
node_42: Pixel (1604, 515) -> Mappa (47.69, -13.97)
node_43: Pixel (161, 525) -> Mappa (-24.46, -14.47)
node_44: Pixel (1811, 544) -> Mappa (58.04, -15.42)
node_45: Pixel (1018, 561) -> Mappa (18.39, -16.27)
node_46: Pixel (2201, 589) -> Mappa (77.54, -17.67)
node_47: Pixel (1847, 626) -> Mappa (59.84, -19.52)
node_48: Pixel (2242, 642) -> Mappa (79.59, -20.32)
